legacy,legacyPath,legacySize,legacyMD5,status,newPath,reason
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\.eslintrc-auto-import.json","2234","7962a2401d66bda984ab9fafd47085d1","缺失","","stem 无匹配 (.eslintrc-auto-import / .eslintrc-auto-import)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\env.d.ts","1706","2298485840994c1cc97944d17e382ee2","缺失","","stem 无匹配 (env.d / env.d)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\hardcoded-texts.json","1130771","acda7c1437dc05f94bbd2f76ae9f5839","缺失","","stem 无匹配 (hardcoded-texts / hardcoded-texts)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\index.html","3039","b47e072dc811cf34cba8557ac67f8608","已迁移(重写)","g:\IHUI-AI\apps\api\src\config\index.ts","stem+大小相近(1.11x: index)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\jsconfig.json","551","0b73313ff5aff78d176da4fafaa1e2d2","缺失","","stem 无匹配 (jsconfig / jsconfig)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\package-lock.json","304957","1127ad2e28a29e7026927865df9af6d2","缺失","","stem 无匹配 (package-lock / package-lock)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\package.json","2291","abf2a5e22cca5175b1fdd7d5befca0e0","已迁移(重写)","g:\IHUI-AI\apps\api\package.json","stem+大小相近(1.13x: package)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\ai\advertise.ts","828","ecc46b1c9ed4d212f568323953b08210","缺失","","stem 无匹配 (advertise / advertise)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\ai\agentRule.ts","918","d776d70fd49dfd0eb2f06f996c19258a","部分迁移","g:\IHUI-AI\packages\database\src\schema\agent-rule.ts","stem 匹配但大小差异大(1 个候选: agentRule)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\ai\agentRuleParam.ts","998","6bdcc00e0335c0d2663a6d541938da76","缺失","","stem 无匹配 (agentRuleParam / agent-rule-param)"
