source,httpMethod,path,normalizedPath,legacyFile,legacyClass,status,matchedRoutes,reason
"java","GET","/statistics","/statistics","edu service\edu service\ihui-ai-edu-ask-service\src\main\java\com\yjs\cloud\learning\ask\biz\statistics\web\AskStatisticsController.java","AskStatisticsController","部分迁移","GET /statistics/message (statistics.ts:540) | GET /statistics/live (statistics.ts:546) | GET /statistics/point (statistics.ts:552)","路径前缀匹配: /statistics → 6 个候选"
"java","POST","/public-api/watch","/public-api/watch","edu service\edu service\ihui-ai-edu-behavior-service\src\main\java\com\yjs\cloud\learning\behavior\biz\watch\web\WatchController.java","WatchController","缺失","","无匹配: POST /public-api/watch"
"java","GET","/public-api/watch/count","/public-api/watch/count","edu service\edu service\ihui-ai-edu-behavior-service\src\main\java\com\yjs\cloud\learning\behavior\biz\watch\web\WatchController.java","WatchController","缺失","","无匹配: GET /public-api/watch/count"
"java","GET","/auth-api/watch/page/list","/auth-api/watch/page/list","edu service\edu service\ihui-ai-edu-behavior-service\src\main\java\com\yjs\cloud\learning\behavior\biz\watch\web\WatchController.java","WatchController","缺失","","无匹配: GET /auth-api/watch/page/list"
"java","GET","/public-api/watch/count/group-by","/public-api/watch/count/group-by","edu service\edu service\ihui-ai-edu-behavior-service\src\main\java\com\yjs\cloud\learning\behavior\biz\watch\web\WatchController.java","WatchController","缺失","","无匹配: GET /public-api/watch/count/group-by"
"java","POST","/sso/admin/login","/sso/admin/login","edu service\edu service\ihui-ai-edu-auth-service\src\main\java\com\yjs\cloud\learning\auth\biz\sso\web\SsoController.java","SsoController","缺失","","无匹配: POST /sso/admin/login"
"java","POST","/sso/member/login","/sso/member/login","edu service\edu service\ihui-ai-edu-auth-service\src\main\java\com\yjs\cloud\learning\auth\biz\sso\web\SsoController.java","SsoController","缺失","","无匹配: POST /sso/member/login"
"java","POST","/sso/uuid/login","/sso/uuid/login","edu service\edu service\ihui-ai-edu-auth-service\src\main\java\com\yjs\cloud\learning\auth\biz\sso\web\SsoController.java","SsoController","缺失","","无匹配: POST /sso/uuid/login"
"java","POST","/sso/admin/create","/sso/admin/create","edu service\edu service\ihui-ai-edu-auth-service\src\main\java\com\yjs\cloud\learning\auth\biz\sso\web\SsoController.java","SsoController","缺失","","无匹配: POST /sso/admin/create"
"java","POST","/sso/member/create","/sso/member/create","edu service\edu service\ihui-ai-edu-auth-service\src\main\java\com\yjs\cloud\learning\auth\biz\sso\web\SsoController.java","SsoController","缺失","","无匹配: POST /sso/member/create"
