source,httpMethod,path,mappedPath,normalizedPath,legacyFile,legacyClass,status,appliedRule,matchedRoutes,reason
"java","GET","/statistics","/statistics","/statistics","edu service\edu service\ihui-ai-edu-circle-service\src\main\java\com\yjs\cloud\learning\circle\biz\statistics\web\CircleStatisticsController.java","CircleStatisticsController","部分迁移","","GET /statistics/message (statistics.ts:540) | GET /statistics/live (statistics.ts:546) | GET /statistics/point (statistics.ts:552)","路径前缀匹配: /statistics → 6 个候选"
"java","POST","/auth-api/dynamic","/articles","/articles","edu service\edu service\ihui-ai-edu-circle-service\src\main\java\com\yjs\cloud\learning\circle\biz\dynamic\web\DynamicController.java","DynamicController","已迁移","prefix:/auth-api→(strip); module:dynamic→articles","POST /articles (content.ts:599)","精确匹配: POST /articles"
"java","PUT","/auth-api/dynamic","/articles","/articles","edu service\edu service\ihui-ai-edu-circle-service\src\main\java\com\yjs\cloud\learning\circle\biz\dynamic\web\DynamicController.java","DynamicController","部分迁移","prefix:/auth-api→(strip); module:dynamic→articles","PUT /articles/:id (content.ts:617) | DELETE /articles/:id (content.ts:643)","路径前缀匹配: /articles → 2 个候选"
"java","DELETE","/dynamic","/articles","/articles","edu service\edu service\ihui-ai-edu-circle-service\src\main\java\com\yjs\cloud\learning\circle\biz\dynamic\web\DynamicController.java","DynamicController","部分迁移","module:dynamic→articles","PUT /articles/:id (content.ts:617) | DELETE /articles/:id (content.ts:643)","路径前缀匹配: /articles → 2 个候选"
"java","DELETE","/auth-api/dynamic","/articles","/articles","edu service\edu service\ihui-ai-edu-circle-service\src\main\java\com\yjs\cloud\learning\circle\biz\dynamic\web\DynamicController.java","DynamicController","部分迁移","prefix:/auth-api→(strip); module:dynamic→articles","PUT /articles/:id (content.ts:617) | DELETE /articles/:id (content.ts:643)","路径前缀匹配: /articles → 2 个候选"
"java","GET","/dynamic/list","/articles/list","/articles/list","edu service\edu service\ihui-ai-edu-circle-service\src\main\java\com\yjs\cloud\learning\circle\biz\dynamic\web\DynamicController.java","DynamicController","部分迁移","module:dynamic→articles","GET /articles (articles.ts:20) | GET /articles (content.ts:592) | POST /articles (content.ts:599)","路径前缀匹配: /articles/list → 3 个候选"
"java","GET","/public-api/dynamic/list","/articles/list","/articles/list","edu service\edu service\ihui-ai-edu-circle-service\src\main\java\com\yjs\cloud\learning\circle\biz\dynamic\web\DynamicController.java","DynamicController","部分迁移","prefix:/public-api→(strip); module:dynamic→articles","GET /articles (articles.ts:20) | GET /articles (content.ts:592) | POST /articles (content.ts:599)","路径前缀匹配: /articles/list → 3 个候选"
"java","GET","/public-api/dynamic/list/by-ids","/articles/list/by-ids","/articles/list/by-ids","edu service\edu service\ihui-ai-edu-circle-service\src\main\java\com\yjs\cloud\learning\circle\biz\dynamic\web\DynamicController.java","DynamicController","部分迁移","prefix:/public-api→(strip); module:dynamic→articles","GET /articles (articles.ts:20) | GET /articles (content.ts:592) | POST /articles (content.ts:599)","路径前缀匹配: /articles/list/by-ids → 3 个候选"
"java","GET","/public-api/dynamic","/articles","/articles","edu service\edu service\ihui-ai-edu-circle-service\src\main\java\com\yjs\cloud\learning\circle\biz\dynamic\web\DynamicController.java","DynamicController","已迁移","prefix:/public-api→(strip); module:dynamic→articles","GET /articles (articles.ts:20) | GET /articles (content.ts:592)","精确匹配: GET /articles"
"java","GET","/public-api/dynamic/count","/articles/count","/articles/count","edu service\edu service\ihui-ai-edu-circle-service\src\main\java\com\yjs\cloud\learning\circle\biz\dynamic\web\DynamicController.java","DynamicController","部分迁移","prefix:/public-api→(strip); module:dynamic→articles","GET /articles (articles.ts:20) | GET /articles (content.ts:592) | POST /articles (content.ts:599)","路径前缀匹配: /articles/count → 3 个候选"
