category,old_table,new_table,old_source,new_file,match_type,normalized_old,normalized_new
migrated,circle_category,edu_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,exact,category,category
migrated,circle_category_relation,live_category_relation,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\live-extended.ts,exact,category_relation,category_relation
migrated,circle_circle,circles,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\community.ts,exact,circle,circle
migrated,content_category,edu_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,exact,category,category
migrated,content_category_relation,live_category_relation,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\live-extended.ts,exact,category_relation,category_relation
migrated,exam_category,edu_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,exact,category,category
migrated,exam_category_relation,live_category_relation,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\live-extended.ts,exact,category_relation,category_relation
migrated,exam_exam_chapter,edu_exam_chapter,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,exact,exam_chapter,exam_chapter
migrated,exam_exam_chapter_section,edu_exam_chapter_section,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,exact,exam_chapter_section,exam_chapter_section
migrated,exam_paper,exam_papers,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\exam.ts,exact,paper,paper
migrated,exam_paper_category,exam_paper_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\relation-tables.ts,exact,paper_category,paper_category
migrated,exam_paper_category_relation,exam_paper_category_relation,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\relation-tables.ts,exact,paper_category_relation,paper_category_relation
migrated,exam_question,exam_questions,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\exam.ts,exact,question,question
migrated,exam_question_category,exam_question_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\relation-tables.ts,exact,question_category,question_category
migrated,exam_question_category_relation,exam_question_category_relation,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\relation-tables.ts,exact,question_category_relation,question_category_relation
migrated,exam_record,exam_records,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\exam.ts,exact,record,record
migrated,learn_category,edu_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,exact,category,category
migrated,learn_category_relation,live_category_relation,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\live-extended.ts,exact,category_relation,category_relation
migrated,learn_learn_map,edu_learn_map,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,exact,learn_map,learn_map
migrated,learn_record,exam_records,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\exam.ts,exact,record,record
migrated,learn_topic_category,learn_topic_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\learn-extra-extended.ts,exact,topic_category,topic_category
migrated,learn_topic_category_relation,learn_topic_category_relation,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\learn-extra-extended.ts,exact,topic_category_relation,topic_category_relation
migrated,live_category,edu_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,exact,category,category
migrated,live_category_relation,live_category_relation,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\live-extended.ts,exact,category_relation,category_relation
migrated,message_announcement,announcements,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\content.ts,exact,announcement,announcement
migrated,message_notice,sys_notice,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\admin-sys.ts,exact,notice,notice
migrated,message_system_notice,message_system_notice,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\relation-tables.ts,exact,system_notice,system_notice
migrated,order_order,orders,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\billing.ts,exact,order,order
migrated,order_order_item,edu_order_items,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\order.ts,exact,order_item,order_item
migrated,point_record,exam_records,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\exam.ts,exact,record,record
migrated,resource_category,edu_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,exact,category,category
migrated,resource_category_relation,live_category_relation,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\live-extended.ts,exact,category_relation,category_relation
migrated,search_hot_word,hot_words,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\misc-extended-2.ts,exact,hot_word,hot_word
migrated,search_record,exam_records,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\exam.ts,exact,record,record
migrated,setting_agreement,edu_agreement,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,exact,agreement,agreement
