vue_path,module,desc,path_slugs,keywords,decision,match_type,match_evidence,next_path,next_file
/exam/question-lib/single-choice,exam,单选题编辑,"single-choice|singleChoice|single_choice","single-choice|singleChoice|single_choice|单选",已迁移,dynamic-route-match,"path slug ""[type]"" 命中 admin/edu/exam/questions/[type]/page.tsx",/admin/edu/exam/questions/[type],g:/IHUI-AI/apps/web/app/(main)/admin/edu/exam/questions/[type]/page.tsx
/exam/question-lib/multi-choice,exam,多选题编辑,"multi-choice|multiChoice|multi_choice","multi-choice|multiChoice|multi_choice|多选",已迁移,dynamic-route-match,"path slug ""[type]"" 命中 admin/edu/exam/questions/[type]/page.tsx",/admin/edu/exam/questions/[type],g:/IHUI-AI/apps/web/app/(main)/admin/edu/exam/questions/[type]/page.tsx
/exam/question-lib/judgment,exam,判断题编辑,"judgment","judgment|判断题",已迁移,dynamic-route-match,"path slug ""[type]"" 命中 admin/edu/exam/questions/[type]/page.tsx",/admin/edu/exam/questions/[type],g:/IHUI-AI/apps/web/app/(main)/admin/edu/exam/questions/[type]/page.tsx
/exam/question-lib/fill-blank,exam,填空题编辑,"fill-blank|fillBlank|fill_blank","fill-blank|fillBlank|fill_blank|填空",已迁移,dynamic-route-match,"path slug ""[type]"" 命中 admin/edu/exam/questions/[type]/page.tsx",/admin/edu/exam/questions/[type],g:/IHUI-AI/apps/web/app/(main)/admin/edu/exam/questions/[type]/page.tsx
/exam/question-lib/subjective,exam,主观题编辑,"subjective","subjective|主观",已迁移,dynamic-route-match,"path slug ""[type]"" 命中 admin/edu/exam/questions/[type]/page.tsx",/admin/edu/exam/questions/[type],g:/IHUI-AI/apps/web/app/(main)/admin/edu/exam/questions/[type]/page.tsx
/exam/paper/normal,exam,正常试卷编辑,"paper-normal|paperNormal|papers-manual|papersManual","papers-manual|papersManual|paper-normal|paperNormal|正常试卷|普通试卷",已迁移,path-slug-match,"path slug ""papers-manual"" 命中 admin/edu/exam/papers-manual/page.tsx",/admin/edu/exam/papers-manual,g:/IHUI-AI/apps/web/app/(main)/admin/edu/exam/papers-manual/page.tsx
/exam/paper/random,exam,随机试卷编辑,"paper-random|paperRandom|papers-random|papersRandom","papers-random|papersRandom|paper-random|paperRandom|随机试卷",已迁移,path-slug-match,"path slug ""papers-random"" 命中 admin/edu/exam/papers-random/page.tsx",/admin/edu/exam/papers-random,g:/IHUI-AI/apps/web/app/(main)/admin/edu/exam/papers-random/page.tsx
/exam/paper/category,exam,试卷分类,"paper-category|paperCategory","paper-category|paperCategory|试卷分类|CategoriesDialog|exam/categories",部分迁移,admin-page-keyword-match,"keyword ""exam/categories"" 命中 page 路径 admin/edu/exam/categories/page.tsx",/admin/edu/exam/categories,g:/IHUI-AI/apps/web/app/(main)/admin/edu/exam/categories/page.tsx
/exam/exam/edit,exam,考试编辑,"exam-edit|examEdit|ExamDialog","exam-edit|examEdit|ExamDialog|考试编辑",部分迁移,admin-component-name-match,"keyword ""ExamDialog"" 命中组件文件名 admin/edu/exam/examdialog.tsx",/admin/edu/exam,g:/IHUI-AI/apps/web/app/(main)/admin/edu/exam/ExamDialog.tsx
/exam/answer/mark,exam,阅卷,"answer-mark|answerMark|mark","answer-mark|answerMark|阅卷|mark-paper|markPaper",已迁移,path-slug-match,"path slug ""mark"" 命中 admin/exam-marking/page.tsx",/admin/exam-marking,g:/IHUI-AI/apps/web/app/(main)/admin/exam-marking/page.tsx
/learn/lesson/edit,learn,课时编辑,"lesson-edit|lessonEdit|LearnDialog","lesson-edit|lessonEdit|LearnDialog|课时编辑",部分迁移,admin-component-name-match,"keyword ""LearnDialog"" 命中组件文件名 admin/edu/learn/learndialog.tsx",/admin/edu/learn,g:/IHUI-AI/apps/web/app/(main)/admin/edu/learn/LearnDialog.tsx
/learn/lesson/category,learn,课时分类,"lesson-category|lessonCategory|LearnCategory|learn/categories","lesson-category|lessonCategory|LearnCategory|课时分类",已迁移,path-slug-match,"path slug ""learn/categories"" 命中 admin/learn/categories/page.tsx",/admin/learn/categories,g:/IHUI-AI/apps/web/app/(main)/admin/learn/categories/page.tsx
/learn/lesson/trash,learn,课时回收站,"lesson-trash|lessonTrash|trash","lesson-trash|lessonTrash|课时回收站|admin/edu/course/trash",已迁移,path-slug-match,"path slug ""trash"" 命中 admin/edu/course/trash/page.tsx",/admin/edu/course/trash,g:/IHUI-AI/apps/web/app/(main)/admin/edu/course/trash/page.tsx
/learn/topic/edit,learn,专题编辑,"topic-edit|topicEdit|TopicsDialog","topic-edit|topicEdit|TopicsDialog|专题编辑",部分迁移,admin-component-name-match,"keyword ""TopicsDialog"" 命中组件文件名 admin/edu/learn/topics/topicsdialog.tsx",/admin/edu/learn/topics,g:/IHUI-AI/apps/web/app/(main)/admin/edu/learn/topics/TopicsDialog.tsx
/learn/topic/category,learn,专题分类,"topic-category|topicCategory","topic-category|topicCategory|专题分类",真实缺失,no-match,"rg + path slug + component name + dialog pattern 全部未命中",,
