category,vue_path,vue_normalized,vue_name,vue_component,vue_source,vue_project,vue_type,match_type,next_path,next_normalized,next_file,analysis
已迁移,/,/,,Layout,D:\历史项目存档\ihui-ai-admin-frontend\src\router\index.ts,src/router,vue-router,exact,/admin,/,g:\IHUI-AI\apps\web\app\(main)\admin\page.tsx,
已迁移,/user/profile,/user/profile,Profile,<inline>,D:\历史项目存档\ihui-ai-admin-frontend\src\router\index.ts,src/router,vue-router,exact,/user/profile,/user/profile,g:\IHUI-AI\apps\web\app\(main)\user\profile\page.tsx,
已迁移,/unauthorized,/unauthorized,unauthorized,Unauthorized,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,exact,/admin/unauthorized,/unauthorized,g:\IHUI-AI\apps\web\app\(main)\admin\unauthorized\page.tsx,
已迁移,/member/unaudited,/member/unaudited,memberUnauditedList,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,exact,/admin/member/unaudited,/member/unaudited,g:\IHUI-AI\apps\web\app\(main)\admin\member\unaudited\page.tsx,
已迁移,/learn,/learn,learnIndex,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,exact,/admin/learn,/learn,g:\IHUI-AI\apps\web\app\(main)\admin\learn\page.tsx,
已迁移,/learn/topic,/learn/topic,learnTopic,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,exact,/learn/topic,/learn/topic,g:\IHUI-AI\apps\web\app\(main)\learn\topic\page.tsx,
已迁移,/exam,/exam,examIndex,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,exact,/admin/exam,/exam,g:\IHUI-AI\apps\web\app\(main)\admin\exam\page.tsx,
已迁移,/live,/live,liveIndex,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,exact,/admin/live,/live,g:\IHUI-AI\apps\web\app\(main)\admin\live\page.tsx,
已迁移,/news,/news,news,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,exact,/admin/news,/news,g:\IHUI-AI\apps\web\app\(main)\admin\news\page.tsx,
已迁移,/article,/article,,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,exact,/admin/article,/article,g:\IHUI-AI\apps\web\app\(main)\admin\article\page.tsx,
已迁移,/ask,/ask,,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,exact,/ask,/ask,g:\IHUI-AI\apps\web\app\(main)\ask\page.tsx,
已迁移,/point,/point,,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,exact,/admin/point,/point,g:\IHUI-AI\apps\web\app\(main)\admin\point\page.tsx,
已迁移,/search,/search,,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,exact,/search,/search,g:\IHUI-AI\apps\web\app\(main)\search\page.tsx,
已迁移,/agreement/:type,/agreement/:type,agreement,<inline>,D:\历史项目存档\edu client\web\web\src\router\index.js,web/web,vue-router,exact,/agreement/[type],/agreement/:type,g:\IHUI-AI\apps\web\app\(main)\agreement\[type]\page.tsx,
已迁移,/certificate/download,/certificate/download,certificateDownload,<inline>,D:\历史项目存档\edu client\web\web\src\router\index.js,web/web,vue-router,exact,/certificate/download,/certificate/download,g:\IHUI-AI\apps\web\app\(main)\certificate\download\page.tsx,
已迁移,/member/favorites,/member/favorites,memberFavorites,<inline>,D:\历史项目存档\edu client\web\web\src\router\index.js,web/web,vue-router,exact,/member/favorites,/member/favorites,g:\IHUI-AI\apps\web\app\(main)\member\favorites\page.tsx,
已迁移,/member/fans,/member/fans,memberFans,<inline>,D:\历史项目存档\edu client\web\web\src\router\index.js,web/web,vue-router,exact,/member/fans,/member/fans,g:\IHUI-AI\apps\web\app\(main)\member\fans\page.tsx,
已迁移,/about,/about,aboutIndex,<inline>,D:\历史项目存档\edu client\web\web\src\router\index.js,web/web,vue-router,exact,/about,/about,g:\IHUI-AI\apps\web\app\(main)\about\page.tsx,
已迁移,/help,/help,helpIndex,<inline>,D:\历史项目存档\edu client\web\web\src\router\index.js,web/web,vue-router,exact,/admin/help,/help,g:\IHUI-AI\apps\web\app\(main)\admin\help\page.tsx,
已迁移,/feedback,/feedback,feedbackIndex,<inline>,D:\历史项目存档\edu client\web\web\src\router\index.js,web/web,vue-router,exact,/feedback,/feedback,g:\IHUI-AI\apps\web\app\(main)\feedback\page.tsx,
已迁移,/help,/help,helpIndex,<inline>,D:\历史项目存档\code\edu\web\web\src\router\index.js,edu/web,vue-router,exact,/help,/help,g:\IHUI-AI\apps\web\app\(main)\help\page.tsx,
已迁移,/,/,,,D:\历史项目存档\zhs_app-ZZ\share-h5\src\router\index.js,share-h5/src,vue-router,exact,/,/,g:\IHUI-AI\apps\web\app\(marketing)\page.tsx,
部分迁移,/system/user-auth/role/:userId(\d+),/system/user-auth/role/:userId,AuthRole,<inline>,D:\历史项目存档\ihui-ai-admin-frontend\src\router\index.ts,src/router,vue-router,keyword,/admin/system/login-logs,/system/login-logs,g:\IHUI-AI\apps\web\app\(main)\admin\system\login-logs\page.tsx,
部分迁移,/system/role-auth/user/:roleId(\d+),/system/role-auth/user/:roleId,AuthUser,<inline>,D:\历史项目存档\ihui-ai-admin-frontend\src\router\index.ts,src/router,vue-router,keyword,/admin/system/monitor,/system/monitor,g:\IHUI-AI\apps\web\app\(main)\admin\system\monitor\page.tsx,
部分迁移,/system/dict-data/index/:dictId(\d+),/system/dict-data/index/:dictId,Data,<inline>,D:\历史项目存档\ihui-ai-admin-frontend\src\router\index.ts,src/router,vue-router,keyword,/admin/system/operation-logs,/system/operation-logs,g:\IHUI-AI\apps\web\app\(main)\admin\system\operation-logs\page.tsx,
部分迁移,/monitor/job-log/index/:jobId(\d+),/monitor/job-log/index/:jobId,JobLog,<inline>,D:\历史项目存档\ihui-ai-admin-frontend\src\router\index.ts,src/router,vue-router,keyword,/admin/monitor/alerts,/monitor/alerts,g:\IHUI-AI\apps\web\app\(main)\admin\monitor\alerts\page.tsx,
部分迁移,/member,/member,,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,prefix,/member/upgrade,/member/upgrade,g:\IHUI-AI\apps\web\app\(main)\member\upgrade\page.tsx,
部分迁移,/member/list,/member/list,memberList,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,keyword,/admin/member/blacklist,/member/blacklist,g:\IHUI-AI\apps\web\app\(main)\admin\member\blacklist\page.tsx,
部分迁移,/member/level,/member/level,memberLevel,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,keyword,/admin/member/companies,/member/companies,g:\IHUI-AI\apps\web\app\(main)\admin\member\companies\page.tsx,
部分迁移,/member/edit,/member/edit,memberEdit,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,keyword,/admin/member/company-types,/member/company-types,g:\IHUI-AI\apps\web\app\(main)\admin\member\company-types\page.tsx,
部分迁移,/member/group,/member/group,memberGroup,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,keyword,/admin/member/departments,/member/departments,g:\IHUI-AI\apps\web\app\(main)\admin\member\departments\page.tsx,
部分迁移,/member/tag,/member/tag,memberTag,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,keyword,/admin/member/logs,/member/logs,g:\IHUI-AI\apps\web\app\(main)\admin\member\logs\page.tsx,
部分迁移,/member/post,/member/post,memberPost,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,keyword,/admin/member/permissions,/member/permissions,g:\IHUI-AI\apps\web\app\(main)\admin\member\permissions\page.tsx,
部分迁移,/member/company,/member/company,memberCompany,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,keyword,/admin/member/roles,/member/roles,g:\IHUI-AI\apps\web\app\(main)\admin\member\roles\page.tsx,
部分迁移,/member/company/type,/member/company/type,memberCompanyType,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,keyword,/admin/member/users,/member/users,g:\IHUI-AI\apps\web\app\(main)\admin\member\users\page.tsx,
部分迁移,/learn/lesson,/learn/lesson,learnLesson,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,prefix,/learn,/learn,g:\IHUI-AI\apps\web\app\(main)\learn\page.tsx,
部分迁移,/learn/lesson/category,/learn/lesson/category,learnCategory,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,keyword,/admin/learn/categories,/learn/categories,g:\IHUI-AI\apps\web\app\(main)\admin\learn\categories\page.tsx,
部分迁移,/learn/lesson/trash,/learn/lesson/trash,learnLessonTrash,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,keyword,/admin/learn/chapters,/learn/chapters,g:\IHUI-AI\apps\web\app\(main)\admin\learn\chapters\page.tsx,
部分迁移,/learn/lesson/edit,/learn/lesson/edit,learnLessonEdit,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,keyword,/admin/learn/signups,/learn/signups,g:\IHUI-AI\apps\web\app\(main)\admin\learn\signups\page.tsx,
部分迁移,/learn/topic/edit,/learn/topic/edit,learnTopicEdit,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,keyword,/learn/buyconfirm,/learn/buyconfirm,g:\IHUI-AI\apps\web\app\(main)\learn\buyconfirm\page.tsx,
部分迁移,/learn/topic/category,/learn/topic/category,learnTopicCategory,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,keyword,/learn/map,/learn/map,g:\IHUI-AI\apps\web\app\(main)\learn\map\page.tsx,
