source,legacyKey,normalizedKey,sourceFiles,status,matchedKeys,reason
"legacy","confirm","confirm","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.confirm","精确匹配: confirm"
"legacy","cancel","cancel","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.cancel","精确匹配: cancel"
"legacy","yes","yes","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts","已迁移","common.yes","精确匹配: yes"
"legacy","no","no","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts","已迁移","common.no","精确匹配: no"
"legacy","search","search","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.search | nav.search","精确匹配: search"
"legacy","reset","reset","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.reset","精确匹配: reset"
"legacy","add","add","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.add","精确匹配: add"
"legacy","edit","edit","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.edit","精确匹配: edit"
"legacy","modify","modify","ihui-ai-admin-frontend/src/locales/lang/en.ts","部分迁移","userComponents.security.modify","后缀匹配: .modify"
"legacy","delete","delete","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.delete","精确匹配: delete"
"legacy","export","export","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.export","精确匹配: export"
"legacy","import","import","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","部分迁移","admin.gen.import | settings.themeBackup.import | settings.ipWhitelist.import","后缀匹配: .import"
"legacy","save","save","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.save","精确匹配: save"
"legacy","submit","submit","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.submit","精确匹配: submit"
"legacy","back","back","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.back","精确匹配: back"
"legacy","close","close","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.close","精确匹配: close"
"legacy","loading","loading","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.loading","精确匹配: loading"
"legacy","success","success","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.success","精确匹配: success"
"legacy","error","error","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.error","精确匹配: error"
"legacy","warning","warning","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.warning","精确匹配: warning"
"legacy","info","info","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","部分迁移","announcements.types.info | admin.announcements.types.info | admin.events.levels.info","后缀匹配: .info"
"legacy","systemTip","system_tip","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","缺失","","无匹配: systemTip"
"legacy","operationSuccess","operation_success","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","部分迁移","common.messages.operationSuccess","后缀匹配: .operation_success"
"legacy","operationFailed","operation_failed","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.operationFailed","精确匹配: operation_failed"
"legacy","pleaseSelect","please_select","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.pleaseSelect","精确匹配: please_select"
