module,legacyKey,normalizedKey,leaf,originalFirstSeg,currentRepoMatches,decision,evalReason
"system_tip","common.systemTip","system_tip","system_tip","common","","补齐","common 通用文案,当前仓库 common.* 缺少 leaf ""system_tip"",建议补迁移"
"serial_number","common.serialNumber","serial_number","serial_number","common","","补齐","common 通用文案,当前仓库 common.* 缺少 leaf ""serial_number"",建议补迁移"
"data_item","common.dataItem","data_item","data_item","common","","补齐","common 通用文案,当前仓库 common.* 缺少 leaf ""data_item"",建议补迁移"
"modify_success","common.modifySuccess","modify_success","modify_success","common","","补齐","common 通用文案,当前仓库 common.* 缺少 leaf ""modify_success"",建议补迁移"
"header_search","headerSearch","header_search","header_search","headerSearch","","废弃","命名空间根标识 ""headerSearch"" 无实际文案内容,无需迁移"
"unified_login_button","unifiedLoginButton","unified_login_button","unified_login_button","unifiedLoginButton","","废弃","命名空间根标识 ""unifiedLoginButton"" 无实际文案内容,无需迁移"
"unified_login_button","unifiedLoginButton.logoutConfirm","unified_login_button.logout_confirm","logout_confirm","unifiedLoginButton","","废弃","模块 ""unified_login_button"" 为已废弃的旧组件/功能,新项目无对应实现"
"unified_login_button","unifiedLoginButton.noPermission","unified_login_button.no_permission","no_permission","unifiedLoginButton","","废弃","模块 ""unified_login_button"" 为已废弃的旧组件/功能,新项目无对应实现"
"unified_login_button","unifiedLoginButton.redirectFail","unified_login_button.redirect_fail","redirect_fail","unifiedLoginButton","","废弃","模块 ""unified_login_button"" 为已废弃的旧组件/功能,新项目无对应实现"
"unified_login_button","unifiedLoginButton.parseFail","unified_login_button.parse_fail","parse_fail","unifiedLoginButton","","废弃","模块 ""unified_login_button"" 为已废弃的旧组件/功能,新项目无对应实现"
"logout_confirm","navbar.logoutConfirm","logout_confirm","logout_confirm","navbar","","废弃","模块 ""logout_confirm"" 为旧项目特有功能,新项目无对应实现"
"crontab","crontab","crontab","crontab","crontab","","废弃","命名空间根标识 ""crontab"" 无实际文案内容,无需迁移"
"crontab","crontab.allowedWildcards","crontab.allowed_wildcards","allowed_wildcards","crontab","","废弃","模块 ""crontab"" 为已废弃的旧组件/功能,新项目无对应实现"
"crontab","crontab.cycleFrom","crontab.cycle_from","cycle_from","crontab","","废弃","模块 ""crontab"" 为已废弃的旧组件/功能,新项目无对应实现"
"crontab","crontab.startFrom","crontab.start_from","start_from","crontab","","废弃","模块 ""crontab"" 为已废弃的旧组件/功能,新项目无对应实现"
"crontab","crontab.executeOnce","crontab.execute_once","execute_once","crontab","","废弃","模块 ""crontab"" 为已废弃的旧组件/功能,新项目无对应实现"
"crontab","crontab.everyMonth","crontab.every_month","every_month","crontab","","废弃","模块 ""crontab"" 为已废弃的旧组件/功能,新项目无对应实现"
"crontab","crontab.nearestWorkday","crontab.nearest_workday","nearest_workday","crontab","","废弃","模块 ""crontab"" 为已废弃的旧组件/功能,新项目无对应实现"
"crontab","crontab.lastDayOfMonth","crontab.last_day_of_month","last_day_of_month","crontab","","废弃","模块 ""crontab"" 为已废弃的旧组件/功能,新项目无对应实现"
"crontab","crontab.specify","crontab.specify","specify","crontab","","废弃","模块 ""crontab"" 为已废弃的旧组件/功能,新项目无对应实现"
"crontab","crontab.multipleSelection","crontab.multiple_selection","multiple_selection","crontab","","废弃","模块 ""crontab"" 为已废弃的旧组件/功能,新项目无对应实现"
"batch_export","table.batchExport","batch_export","batch_export","table","","废弃","模块 ""batch_export"" 为旧项目特有功能,新项目无对应实现"
"cancel_select","table.cancelSelect","cancel_select","cancel_select","table","","废弃","模块 ""cancel_select"" 为旧项目特有功能,新项目无对应实现"
"go_to","table.goTo","go_to","go_to","table","","废弃","模块 ""go_to"" 为旧项目特有功能,新项目无对应实现"
"page_size","table.pageSize","page_size","page_size","table","","废弃","模块 ""page_size"" 为旧项目特有功能,新项目无对应实现"
"modify_success","message.modifySuccess","modify_success","modify_success","message","","废弃","模块 ""modify_success"" 为旧项目特有功能,新项目无对应实现"
"modify_failed","message.modifyFailed","modify_failed","modify_failed","message","","废弃","模块 ""modify_failed"" 为旧项目特有功能,新项目无对应实现"
"delete_success_count","message.deleteSuccessCount","delete_success_count","delete_success_count","message","","废弃","模块 ""delete_success_count"" 为旧项目特有功能,新项目无对应实现"
"data_processing","message.dataProcessing","data_processing","data_processing","message","","废弃","模块 ""data_processing"" 为旧项目特有功能,新项目无对应实现"
"duplicate_submit","message.duplicateSubmit","duplicate_submit","duplicate_submit","message","","废弃","模块 ""duplicate_submit"" 为旧项目特有功能,新项目无对应实现"
"token_refresh_failed","message.tokenRefreshFailed","token_refresh_failed","token_refresh_failed","message","","废弃","模块 ""token_refresh_failed"" 为旧项目特有功能,新项目无对应实现"
"login_expired","message.loginExpired","login_expired","login_expired","message","","废弃","模块 ""login_expired"" 为旧项目特有功能,新项目无对应实现"
"re_login","message.reLogin","re_login","re_login","message","","废弃","模块 ""re_login"" 为旧项目特有功能,新项目无对应实现"
"download_error","message.downloadError","download_error","download_error","message","","废弃","模块 ""download_error"" 为旧项目特有功能,新项目无对应实现"
"table_column","tableColumn","table_column","table_column","tableColumn","","废弃","命名空间根标识 ""tableColumn"" 无实际文案内容,无需迁移"
"table_column","tableColumn.id","table_column.id","id","tableColumn","models.billing.transactions.id | models.chats.table.id | aiWorld.admin.sites.table.id","废弃","模块 ""table_column"" 为已废弃的旧组件/功能,新项目无对应实现"
"batch_export","button.batchExport","batch_export","batch_export","button","","废弃","模块 ""batch_export"" 为旧项目特有功能,新项目无对应实现"
"cancel_select","button.cancelSelect","cancel_select","cancel_select","button","","废弃","模块 ""cancel_select"" 为旧项目特有功能,新项目无对应实现"
"query","query.searchParams","query.search_params","search_params","query","","废弃","模块 ""query"" 为已废弃的旧组件/功能,新项目无对应实现"
"query","query.searchButton","query.search_button","search_button","query","","废弃","模块 ""query"" 为已废弃的旧组件/功能,新项目无对应实现"
"query","query.resetButton","query.reset_button","reset_button","query","","废弃","模块 ""query"" 为已废弃的旧组件/功能,新项目无对应实现"
"query","query.deleteButton","query.delete_button","delete_button","query","","废弃","模块 ""query"" 为已废弃的旧组件/功能,新项目无对应实现"
"data","data.nonMultiple","data.non_multiple","non_multiple","data","","废弃","模块 ""data"" 为已废弃的旧组件/功能,新项目无对应实现"
"data","data.showDialog","data.show_dialog","show_dialog","data","","废弃","模块 ""data"" 为已废弃的旧组件/功能,新项目无对应实现"
"validation_message","validationMessage","validation_message","validation_message","validationMessage","","废弃","命名空间根标识 ""validationMessage"" 无实际文案内容,无需迁移"
"validation_message","validationMessage.lengthBetween","validation_message.length_between","length_between","validationMessage","","废弃","模块 ""validation_message"" 为已废弃的旧组件/功能,新项目无对应实现"
"validation_message","validationMessage.invalidFormat","validation_message.invalid_format","invalid_format","validationMessage","","废弃","模块 ""validation_message"" 为已废弃的旧组件/功能,新项目无对应实现"
"auth_user","authUser","auth_user","auth_user","authUser","","废弃","命名空间根标识 ""authUser"" 无实际文案内容,无需迁移"
"auth_user","authUser.inputNickname","auth_user.input_nickname","input_nickname","authUser","","废弃","模块 ""auth_user"" 为旧项目特有功能,新项目无对应实现"
"auth_user","authUser.inputParentId","auth_user.input_parent_id","input_parent_id","authUser","","废弃","模块 ""auth_user"" 为旧项目特有功能,新项目无对应实现"
"auth_user","authUser.uuid","auth_user.uuid","uuid","authUser","","废弃","模块 ""auth_user"" 为旧项目特有功能,新项目无对应实现"
"auth_user","authUser.vipLevel","auth_user.vip_level","vip_level","authUser","","废弃","模块 ""auth_user"" 为旧项目特有功能,新项目无对应实现"
"auth_user","authUser.addUserCenter","auth_user.add_user_center","add_user_center","authUser","","废弃","模块 ""auth_user"" 为旧项目特有功能,新项目无对应实现"
"auth_user","authUser.editUserCenter","auth_user.edit_user_center","edit_user_center","authUser","","废弃","模块 ""auth_user"" 为旧项目特有功能,新项目无对应实现"
"auth_user","authUser.passwordHash","auth_user.password_hash","password_hash","authUser","","废弃","模块 ""auth_user"" 为旧项目特有功能,新项目无对应实现"
"auth_user","authUser.inputPasswordHash","auth_user.input_password_hash","input_password_hash","authUser","","废弃","模块 ""auth_user"" 为旧项目特有功能,新项目无对应实现"
"auth_user","authUser.passwordSalt","auth_user.password_salt","password_salt","authUser","","废弃","模块 ""auth_user"" 为旧项目特有功能,新项目无对应实现"
"auth_user","authUser.inputPasswordSalt","auth_user.input_password_salt","input_password_salt","authUser","","废弃","模块 ""auth_user"" 为旧项目特有功能,新项目无对应实现"
"auth_user","authUser.passwordSaltRequired","auth_user.password_salt_required","password_salt_required","authUser","","废弃","模块 ""auth_user"" 为旧项目特有功能,新项目无对应实现"
"auth_user","authUser.inputAvatar","auth_user.input_avatar","input_avatar","authUser","","废弃","模块 ""auth_user"" 为旧项目特有功能,新项目无对应实现"
